trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl,partial_pnl_total
31,2010-03-28 22:45:00,0.906813,long,1.000000,47.068635,False,Standard (NTI+MB+IC),0.905813,10.000000,0.908173,0.909533,0.911347,2010-05-05 07:00:00,0.935588,trailing_stop,0,896.250000,1023.675014,287.755135,1023.675014,TP0,0.500000,343.565362,TP0,0.165000,224.436185,TP0,0.110550,150.372244,718.373791
32,2010-05-05 09:00:00,0.902799,short,1.000000,44.838940,False,Standard (NTI+MB+IC),0.903799,10.000000,0.901445,0.900091,0.898285,2010-05-05 09:30:00,0.903823,stop_loss,0,0.500000,-1024.375254,-10.243753,-1024.375254,,,,,,,,,,
33,2010-05-05 09:45:00,0.904771,short,1.000000,43.007354,False,Standard (NTI+MB+IC),0.905771,10.000000,0.903414,0.902057,0.900247,2010-05-05 10:30:00,0.905953,stop_loss,0,0.750000,-1182.120021,-11.821200,-1182.120021,,,,,,,,,,
34,2010-05-06 02:00:00,0.903884,short,1.000000,39.443625,False,Standard (NTI+MB+IC),0.904884,10.000000,0.902528,0.901172,0.899364,2010-05-06 03:45:00,0.902178,trailing_stop,0,1.750000,1785.525810,17.057800,1785.525810,TP0,0.500000,1091.784965,TP0,0.165000,223.711184,TP0,0.110550,149.886493,1465.382642
35,2010-05-06 04:00:00,0.902688,short,1.000000,43.562479,False,Standard (NTI+MB+IC),0.903688,10.000000,0.901334,0.899980,0.898174,2010-05-06 04:30:00,0.903883,stop_loss,0,0.500000,-1195.037228,-11.950372,-1195.037228,,,,,,,,,,
36,2010-05-06 04:45:00,0.906151,short,1.000000,17.563352,False,Standard (NTI+MB+IC),0.906195,0.438811,0.904792,0.903433,0.901620,2010-05-06 06:15:00,0.906136,trailing_stop,0,1.500000,769.831737,0.156102,769.831737,TP0,0.500000,225.595249,TP0,0.165000,224.272420,TP0,0.110550,150.262521,600.130190
37,2010-05-06 11:30:00,0.895195,short,1.000000,37.405023,False,Standard (NTI+MB+IC),0.896195,10.000000,0.893853,0.892510,0.890719,2010-05-06 12:15:00,0.895171,trailing_stop,0,0.750000,1123.090505,0.239900,1123.090505,TP0,0.500000,747.699320,TP0,0.165000,221.560861,TP0,0.110550,148.445777,1117.705958
38,2010-05-06 12:30:00,0.892097,short,1.000000,53.476065,False,Standard (NTI+MB+IC),0.893097,10.000000,0.890759,0.889421,0.887636,2010-05-06 12:45:00,0.893153,stop_loss,0,0.250000,-1056.208300,-10.562083,-1056.208300,,,,,,,,,,
39,2010-05-06 13:00:00,0.891992,short,1.000000,59.058251,False,Standard (NTI+MB+IC),0.892992,10.000000,0.890654,0.889316,0.887532,2010-05-07 00:00:00,0.882222,trailing_stop,0,11.000000,1121.470376,97.693821,1121.470376,TP0,0.330000,441.535875,TP0,0.335000,231.708548,TP0,0.110550,147.914518,821.158942
40,2010-05-09 17:30:00,0.900109,long,1.000000,40.091449,False,Standard (NTI+MB+IC),0.899109,10.000000,0.901460,0.902810,0.904610,2010-05-09 18:00:00,0.899091,stop_loss,0,0.500000,-1018.247834,-10.182478,-1018.247834,,,,,,,,,,
41,2010-05-09 18:15:00,0.896341,long,1.000000,41.374722,False,Standard (NTI+MB+IC),0.895341,10.000000,0.897686,0.899030,0.900823,2010-05-09 18:45:00,0.896394,trailing_stop,0,0.500000,52.808253,0.528083,52.808253,,,,,,,,,,
42,2010-05-09 22:00:00,0.903429,long,1.000000,30.862020,False,Standard (NTI+MB+IC),0.902429,10.000000,0.904784,0.906139,0.907946,2010-05-09 22:30:00,0.902298,stop_loss,0,0.500000,-1131.060185,-11.310602,-1131.060185,,,,,,,,,,
43,2010-05-09 22:45:00,0.901646,long,1.000000,36.192736,False,Standard (NTI+MB+IC),0.900646,10.000000,0.902998,0.904351,0.906154,2010-05-10 01:00:00,0.901739,trailing_stop,0,2.250000,1265.245979,0.934843,1265.245979,TP0,0.500000,627.163425,TP0,0.165000,223.157304,TP0,0.110550,149.515394,999.836123
44,2010-05-10 03:30:00,0.907025,long,1.000000,36.602949,False,Standard (NTI+MB+IC),0.906025,10.000000,0.908385,0.909746,0.911560,2010-05-10 04:30:00,0.905990,stop_loss,0,1.000000,-1035.073928,-10.350739,-1035.073928,,,,,,,,,,
45,2010-05-11 00:15:00,0.897487,short,1.000000,45.073374,False,Standard (NTI+MB+IC),0.898487,10.000000,0.896140,0.894794,0.892999,2010-05-11 01:00:00,0.898522,stop_loss,0,0.750000,-1035.439450,-10.354394,-1035.439450,,,,,,,,,,
46,2010-05-11 01:15:00,0.897984,short,1.000000,56.775299,False,Standard (NTI+MB+IC),0.898984,10.000000,0.896637,0.895290,0.893494,2010-05-11 03:30:00,0.897889,trailing_stop,0,2.250000,1058.988201,0.951019,1058.988201,TP0,0.500000,442.121288,TP0,0.165000,222.251100,TP0,0.110550,148.908237,813.280625
47,2010-05-11 04:00:00,0.899892,short,1.000000,19.091750,False,Standard (NTI+MB+IC),0.900706,8.137232,0.898542,0.897192,0.895393,2010-05-11 12:00:00,0.895724,trailing_stop,0,8.000000,1370.950303,41.679660,1370.950303,TP0,0.500000,696.022735,TP0,0.165000,222.723281,TP0,0.110550,149.224598,1067.970615
48,2010-05-11 12:30:00,0.901219,long,1.000000,49.660223,False,Standard (NTI+MB+IC),0.900219,10.000000,0.902571,0.903923,0.905725,2010-05-11 13:00:00,0.900039,stop_loss,0,0.500000,-1180.086796,-11.800868,-1180.086796,,,,,,,,,,
49,2010-05-11 13:15:00,0.900009,long,1.000000,49.501870,False,Standard (NTI+MB+IC),0.899009,10.000000,0.901359,0.902709,0.904509,2010-05-11 14:30:00,0.898914,stop_loss,0,1.250000,-1094.935945,-10.949359,-1094.935945,,,,,,,,,,
50,2010-05-11 17:00:00,0.895052,short,1.000000,47.601800,False,Standard (NTI+MB+IC),0.896052,10.000000,0.893710,0.892367,0.890577,2010-05-11 18:00:00,0.894997,trailing_stop,0,1.000000,516.115143,0.551193,516.115143,TP0,0.500000,276.124730,TP0,0.165000,221.525432,,,,497.650161
51,2010-05-11 18:15:00,0.893864,short,1.000000,62.156364,False,Standard (NTI+MB+IC),0.894864,10.000000,0.892523,0.891182,0.889394,2010-05-11 18:45:00,0.893827,trailing_stop,0,0.500000,36.675902,0.366759,36.675902,,,,,,,,,,
52,2010-05-11 19:00:00,0.894751,short,1.000000,63.879929,False,Standard (NTI+MB+IC),0.895751,10.000000,0.893409,0.892067,0.890278,2010-05-11 20:00:00,0.895899,stop_loss,0,1.000000,-1147.347411,-11.473474,-1147.347411,,,,,,,,,,
53,2010-05-11 23:30:00,0.893396,short,1.000000,35.939931,False,Standard (NTI+MB+IC),0.894396,10.000000,0.892056,0.890716,0.888929,2010-05-12 03:30:00,0.891261,trailing_stop,0,4.000000,1420.244330,21.351814,1420.244330,TP0,0.500000,748.017801,TP0,0.165000,221.115519,TP0,0.110550,148.147398,1117.280717
54,2010-05-12 03:45:00,0.894360,short,1.000000,15.540745,False,Standard (NTI+MB+IC),0.895050,6.901213,0.893018,0.891677,0.889888,2010-05-12 04:00:00,0.895144,stop_loss,0,0.250000,-784.319748,-7.843197,-784.319748,,,,,,,,,,
55,2010-05-12 04:15:00,0.896184,short,1.000000,18.244655,False,Standard (NTI+MB+IC),0.894980,12.038744,0.894840,0.893496,0.891703,2010-05-12 04:30:00,0.895012,stop_loss,0,0.250000,1171.928456,11.719285,1171.928456,,,,,,,,,,
56,2010-05-12 04:45:00,0.895587,short,1.000000,41.232258,False,Standard (NTI+MB+IC),0.894979,6.082667,0.894244,0.892900,0.891109,2010-05-12 05:30:00,0.895519,trailing_stop,0,0.750000,1129.022096,0.680930,1129.022096,TP0,0.500000,743.570066,TP0,0.165000,221.657817,TP0,0.110550,148.510738,1113.738620
57,2010-05-12 05:45:00,0.896403,long,1.000000,34.935622,False,Standard (NTI+MB+IC),0.895403,10.000000,0.897747,0.899092,0.900885,2010-05-12 07:00:00,0.895285,stop_loss,0,1.250000,-1117.456592,-11.174566,-1117.456592,,,,,,,,,,
58,2010-05-12 12:45:00,0.893363,short,1.000000,43.840999,False,Standard (NTI+MB+IC),0.894363,10.000000,0.892022,0.890682,0.888896,2010-05-12 16:15:00,0.893268,trailing_stop,0,3.500000,1234.346783,0.948881,1234.346783,TP0,0.500000,581.263074,TP0,0.165000,221.107225,TP0,0.110550,148.141841,950.512140
59,2010-05-12 21:30:00,0.896115,long,1.000000,45.671725,False,Standard (NTI+MB+IC),0.895115,10.000000,0.897459,0.898803,0.900595,2010-05-13 09:15:00,0.899874,trailing_stop,0,11.750000,1714.687083,37.589407,1714.687083,TP0,0.500000,1042.600973,TP0,0.165000,221.788413,TP0,0.110550,148.598236,1412.987622
60,2010-05-13 15:45:00,0.895978,short,1.000000,33.953047,False,Standard (NTI+MB+IC),0.896978,10.000000,0.894634,0.893290,0.891498,2010-05-13 16:45:00,0.895886,trailing_stop,0,1.000000,485.057357,0.921593,485.057357,TP0,0.500000,438.977710,,,,,,,438.977710
61,2010-05-13 17:15:00,0.893964,short,1.000000,39.722581,False,Standard (NTI+MB+IC),0.894964,10.000000,0.892623,0.891282,0.889495,2010-05-13 17:45:00,0.893886,trailing_stop,0,0.500000,78.253382,0.782534,78.253382,,,,,,,,,,
62,2010-05-13 18:00:00,0.894786,short,1.000000,41.902497,False,Standard (NTI+MB+IC),0.895786,10.000000,0.893444,0.892102,0.890312,2010-05-13 19:30:00,0.895875,stop_loss,0,1.500000,-1088.993057,-10.889931,-1088.993057,,,,,,,,,,
63,2010-05-13 20:15:00,0.893499,short,1.000000,35.135045,False,Standard (NTI+MB+IC),0.894499,10.000000,0.892158,0.890818,0.889031,2010-05-13 21:30:00,0.894693,stop_loss,0,1.250000,-1193.924828,-11.939248,-1193.924828,,,,,,,,,,
64,2010-05-14 12:00:00,0.886673,short,1.000000,43.628484,False,Standard (NTI+MB+IC),0.887673,10.000000,0.885343,0.884013,0.882240,2010-05-14 12:30:00,0.887741,stop_loss,0,0.500000,-1068.280560,-10.682806,-1068.280560,,,,,,,,,,
65,2010-05-14 12:45:00,0.887759,short,1.000000,43.467360,False,Standard (NTI+MB+IC),0.888759,10.000000,0.886427,0.885095,0.883320,2010-06-10 18:00:00,0.848000,end_of_data,0,653.250000,945.175754,397.587134,945.175754,TP0,0.500000,279.356719,TP0,0.165000,219.720282,TP0,0.110550,147.212589,646.289589
