trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl
95,2025-04-09 16:00:00,0.614549,long,1.000000,54.555281,False,0.613549,10.000000,0.615471,0.616393,0.617622,2025-04-09 16:30:00,0.613458,stop_loss,0,0.500000,-1091.514823
96,2025-04-09 16:45:00,0.615351,long,1.000000,46.898221,False,0.614351,10.000000,0.616274,0.617197,0.618428,2025-04-09 17:45:00,0.614275,stop_loss,0,1.000000,-1076.810964
97,2025-04-09 18:00:00,0.615262,long,1.000000,40.413998,False,0.614262,10.000000,0.616185,0.617107,0.618338,2025-04-09 18:45:00,0.616185,tp1_pullback,2,0.750000,1153.615661
98,2025-04-09 19:00:00,0.613865,long,1.000000,34.804300,False,0.612865,10.000000,0.614785,0.615706,0.616934,2025-04-09 20:30:00,0.612680,stop_loss,1,1.500000,-132.159096
99,2025-04-09 23:00:00,0.616685,long,1.000000,29.750604,False,0.615685,10.000000,0.617610,0.618535,0.619769,2025-04-10 01:45:00,0.619769,take_profit_3,3,2.750000,1695.884550
100,2025-04-10 02:00:00,0.618944,long,1.000000,60.692186,False,0.617944,10.000000,0.619873,0.620801,0.622039,2025-04-10 02:30:00,0.617797,stop_loss,1,0.500000,-109.414738
101,2025-04-10 02:45:00,0.619332,long,1.000000,47.544947,False,0.618332,10.000000,0.620261,0.621190,0.622429,2025-04-10 03:00:00,0.618332,stop_loss,0,0.250000,-1000.645090
102,2025-04-10 03:15:00,0.616804,long,1.000000,20.257038,False,0.615804,10.000000,0.617729,0.618654,0.619888,2025-04-10 03:30:00,0.615740,stop_loss,0,0.250000,-1063.736473
103,2025-04-10 04:00:00,0.615196,long,1.000000,22.009723,False,0.614196,10.000000,0.616119,0.617042,0.618272,2025-04-10 04:15:00,0.613999,stop_loss,0,0.250000,-1197.464782
104,2025-04-10 04:30:00,0.614278,long,1.000000,24.410675,False,0.613876,4.017431,0.615199,0.616121,0.617349,2025-04-10 05:30:00,0.615199,tp1_pullback,2,1.000000,1151.771148
105,2025-04-10 08:30:00,0.618271,long,1.000000,39.163290,False,0.617271,10.000000,0.619198,0.620126,0.621362,2025-04-10 09:30:00,0.619198,tp1_pullback,2,1.000000,1159.257633
106,2025-04-10 09:45:00,0.618627,long,1.000000,45.389952,False,0.617627,10.000000,0.619555,0.620483,0.621720,2025-04-10 10:00:00,0.617518,stop_loss,0,0.250000,-1108.725122
107,2025-04-10 10:15:00,0.619016,long,1.000000,38.838115,False,0.618016,10.000000,0.619945,0.620873,0.622111,2025-04-10 10:30:00,0.619090,trailing_stop,2,0.250000,947.072967
108,2025-04-10 10:45:00,0.624474,long,1.000000,44.788144,False,0.623474,10.000000,0.625411,0.626347,0.627596,2025-04-10 11:00:00,0.623332,stop_loss,0,0.250000,-1142.355816
109,2025-04-10 11:15:00,0.621715,long,1.000000,46.023872,False,0.620715,10.000000,0.622647,0.623580,0.624823,2025-04-10 11:45:00,0.620666,stop_loss,0,0.500000,-1048.307649
110,2025-04-10 14:30:00,0.624526,long,1.000000,33.120900,False,0.623526,10.000000,0.625463,0.626400,0.627649,2025-04-10 14:45:00,0.623406,stop_loss,0,0.250000,-1119.680160
111,2025-04-10 15:00:00,0.622152,long,1.000000,30.621655,False,0.621152,10.000000,0.623086,0.624019,0.625263,2025-04-10 15:15:00,0.620955,stop_loss,0,0.250000,-1197.369047
112,2025-04-11 01:00:00,0.619184,long,1.000000,40.312211,False,0.621161,19.772633,0.620112,0.621041,0.622279,2025-04-11 01:15:00,0.621057,stop_loss,1,0.250000,1401.017148
113,2025-04-11 01:30:00,0.620087,short,1.000000,41.740772,False,0.621087,10.000000,0.619157,0.618227,0.616987,2025-04-11 02:45:00,0.621140,stop_loss,1,1.250000,-61.569802
114,2025-04-11 11:45:00,0.624300,long,1.000000,37.283350,False,0.623300,10.000000,0.625237,0.626173,0.627422,2025-04-11 12:15:00,0.623259,stop_loss,0,0.500000,-1041.082476
115,2025-04-11 12:30:00,0.625553,long,1.000000,32.952893,False,0.624553,10.000000,0.626491,0.627430,0.628681,2025-04-11 13:30:00,0.625553,trailing_stop,1,1.000000,469.293843
116,2025-04-11 13:45:00,0.626966,long,1.000000,34.748846,False,0.625966,10.000000,0.627907,0.628847,0.630101,2025-04-13 17:00:00,0.630101,take_profit_3,3,51.250000,1724.157295
117,2025-04-13 17:15:00,0.630027,long,1.000000,42.500605,False,0.629027,10.000000,0.630972,0.631917,0.633177,2025-04-13 18:00:00,0.628860,stop_loss,0,0.750000,-1166.774643
118,2025-04-14 09:00:00,0.628479,long,1.000000,44.356836,False,0.630321,18.415103,0.629422,0.630364,0.631621,2025-04-14 09:15:00,0.630134,stop_loss,0,0.250000,1655.225334
119,2025-04-14 09:30:00,0.628891,short,1.000000,49.872013,False,0.629891,10.000000,0.627947,0.627004,0.625746,2025-04-14 10:00:00,0.630020,stop_loss,0,0.500000,-1129.093002
120,2025-04-14 23:15:00,0.634767,long,1.000000,45.909830,False,0.633767,10.000000,0.635720,0.636672,0.637941,2025-04-15 01:45:00,0.635720,tp1_pullback,2,2.500000,1190.188825
121,2025-04-15 02:00:00,0.635348,long,1.000000,25.364056,False,0.634348,10.000000,0.636301,0.637254,0.638525,2025-04-15 04:15:00,0.635402,trailing_stop,1,2.250000,503.627881
122,2025-04-15 17:30:00,0.633921,short,1.000000,30.728282,False,0.634921,10.000000,0.632970,0.632020,0.630752,2025-04-15 22:00:00,0.634968,stop_loss,1,4.500000,-48.144591
123,2025-04-16 06:00:00,0.637607,long,1.000000,45.106574,False,0.636607,10.000000,0.638563,0.639520,0.640795,2025-04-16 08:30:00,0.636520,stop_loss,0,2.500000,-1087.082913
124,2025-04-16 08:45:00,0.636189,long,1.000000,17.089322,False,0.635197,9.924719,0.637144,0.638098,0.639370,2025-04-16 10:15:00,0.637144,tp1_pullback,2,1.500000,1192.855172
125,2025-04-16 11:15:00,0.638598,long,1.000000,40.460537,False,0.637598,10.000000,0.639556,0.640514,0.641791,2025-04-16 13:30:00,0.637399,stop_loss,0,2.250000,-1198.892039
126,2025-04-16 13:45:00,0.635828,long,1.000000,20.440248,False,0.636298,4.701489,0.636782,0.637735,0.639007,2025-04-16 14:00:00,0.636187,stop_loss,0,0.250000,358.573527
127,2025-04-16 14:15:00,0.636586,long,1.000000,21.762529,False,0.636348,2.384062,0.637541,0.638496,0.639769,2025-04-16 14:30:00,0.636257,stop_loss,0,0.250000,-329.659322
128,2025-04-16 15:15:00,0.636402,long,1.000000,20.649074,False,0.636392,0.099406,0.637357,0.638311,0.639584,2025-04-16 15:30:00,0.636232,stop_loss,0,0.250000,-169.975095
129,2025-04-16 21:30:00,0.635726,short,1.000000,46.735612,False,0.636726,10.000000,0.634772,0.633819,0.632547,2025-04-17 03:30:00,0.634772,tp1_pullback,2,6.000000,1191.986114
130,2025-04-17 03:45:00,0.634998,short,1.000000,19.964461,False,0.635998,10.000000,0.634045,0.633093,0.631823,2025-04-17 07:00:00,0.636173,stop_loss,0,3.250000,-1174.739347
131,2025-04-17 08:45:00,0.638150,long,1.000000,49.867317,False,0.637150,10.000000,0.639107,0.640064,0.641340,2025-04-17 10:45:00,0.637102,stop_loss,0,2.000000,-1047.954170
132,2025-04-17 11:00:00,0.637721,long,1.000000,25.704272,False,0.636721,10.000000,0.638677,0.639634,0.640909,2025-04-17 17:00:00,0.637817,trailing_stop,1,6.000000,526.297992
133,2025-04-17 17:15:00,0.638570,long,1.000000,20.809709,False,0.637570,10.000000,0.639528,0.640486,0.641763,2025-04-17 22:45:00,0.637511,stop_loss,0,5.500000,-1058.988481
134,2025-04-17 23:15:00,0.637219,short,1.000000,51.178339,False,0.638219,10.000000,0.636263,0.635307,0.634033,2025-04-18 00:30:00,0.638223,stop_loss,0,1.250000,-1003.766935
