trade_id,entry_time,entry_price,direction,initial_size,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,tp1_distance_pips,tp2_distance_pips,tp3_distance_pips,exit_time,final_exit_price,exit_reason,trade_duration_hours,tp_hits,total_exited,total_exited_millions,position_integrity_ok,partial_pnl_total,final_pnl,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_price,partial_exit_1_pips,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_price,partial_exit_2_pips,partial_exit_2_pnl,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_price,partial_exit_3_pips,partial_exit_3_pnl
81,2013-09-12 06:15:00,0.924719,short,1000000.000000,1.000000,33.752294,False,Standard (NTI+MB+IC),0.925219,5.000000,0.923886,0.923054,0.921944,8.322468,16.644935,27.741559,2013-09-12 07:00:00,0.924736,trailing_stop,0.750000,0,1000000.000000,1.000000,True,223.036549,217.676462,217.676462,PARTIAL,0.700000,0.924400,3.186236,223.036549,trailing_stop,0.300000,0.924736,-0.178670,-5.360087,,,,,
82,2013-09-12 07:15:00,0.924713,short,1000000.000000,1.000000,11.718620,False,Standard (NTI+MB+IC),0.925213,5.000000,0.923881,0.923049,0.921939,8.322420,16.644841,27.741402,2013-09-12 09:30:00,0.924708,trailing_stop,2.250000,1,1000000.000000,1.000000,True,337.587191,338.565545,338.565545,PARTIAL,0.700000,0.924350,3.633876,254.371308,TP1,0.099990,0.923881,8.322420,83.215882,trailing_stop,0.200010,0.924708,0.048915,0.978354
83,2013-09-12 09:45:00,0.924969,short,1000000.000000,1.000000,33.295248,False,Standard (NTI+MB+IC),0.925469,5.000000,0.924136,0.923304,0.922194,8.324718,16.649436,27.749060,2013-09-12 10:00:00,0.925538,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-569.552067,-569.552067,stop_loss,1.000000,0.925538,-5.695521,-569.552067,,,,,,,,,,
84,2013-09-12 10:15:00,0.927131,short,1000000.000000,1.000000,15.940946,False,Standard (NTI+MB+IC),0.926479,6.518388,0.926297,0.925462,0.924350,8.344181,16.688363,27.813938,2013-09-12 10:45:00,0.927154,trailing_stop,0.500000,0,1000000.000000,1.000000,True,266.894269,260.068856,260.068856,PARTIAL,0.700000,0.926750,3.812775,266.894269,trailing_stop,0.300000,0.927154,-0.227514,-6.825413,,,,,
85,2013-09-12 11:00:00,0.927304,short,1000000.000000,1.000000,37.971994,False,Standard (NTI+MB+IC),0.926464,8.406337,0.926470,0.925635,0.924523,8.345740,16.691480,27.819134,2013-09-12 11:15:00,0.926559,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,745.447036,745.447036,stop_loss,1.000000,0.926559,7.454470,745.447036,,,,,,,,,,
86,2013-09-12 11:30:00,0.926792,long,1000000.000000,1.000000,36.364797,False,Standard (NTI+MB+IC),0.926292,5.000000,0.927626,0.928460,0.929572,8.341127,16.682254,27.803757,2013-09-12 14:00:00,0.926247,stop_loss,2.500000,0,1000000.000000,1.000000,True,0.000000,-545.265510,-545.265510,stop_loss,1.000000,0.926247,-5.452655,-545.265510,,,,,,,,,,
87,2013-09-15 17:45:00,0.934646,long,1000000.000000,1.000000,49.513224,False,Standard (NTI+MB+IC),0.934146,5.000000,0.935487,0.936329,0.937450,8.411816,16.823632,28.039386,2013-09-15 18:30:00,0.934073,stop_loss,0.750000,0,1000000.000000,1.000000,True,0.000000,-572.865062,-572.865062,stop_loss,1.000000,0.934073,-5.728651,-572.865062,,,,,,,,,,
88,2013-09-15 18:45:00,0.933654,long,1000000.000000,1.000000,65.322914,False,Standard (NTI+MB+IC),0.933154,5.000000,0.934494,0.935334,0.936455,8.402885,16.805770,28.009617,2013-09-15 19:00:00,0.933058,stop_loss,0.250000,0,1000000.000000,1.000000,True,0.000000,-596.161949,-596.161949,stop_loss,1.000000,0.933058,-5.961619,-596.161949,,,,,,,,,,
89,2013-09-15 19:15:00,0.932842,long,1000000.000000,1.000000,64.297539,False,Standard (NTI+MB+IC),0.932342,5.000000,0.933682,0.934521,0.935641,8.395579,16.791159,27.985265,2013-09-15 19:45:00,0.932309,stop_loss,0.500000,0,1000000.000000,1.000000,True,0.000000,-533.323034,-533.323034,stop_loss,1.000000,0.932309,-5.333230,-533.323034,,,,,,,,,,
90,2013-09-15 20:00:00,0.933290,long,1000000.000000,1.000000,58.538285,False,Standard (NTI+MB+IC),0.932790,5.000000,0.934130,0.934970,0.936090,8.399613,16.799225,27.998708,2013-09-15 21:00:00,0.933287,trailing_stop,1.000000,0,1000000.000000,1.000000,True,335.803300,334.949576,334.949576,PARTIAL,0.700000,0.933770,4.797190,335.803300,trailing_stop,0.300000,0.933287,-0.028457,-0.853724,,,,,
