trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,final_exit_pips,pnl_per_million,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
306,2011-07-07 10:15:00,1.076125,long,1.000000,45.099044,False,Standard (NTI+MB+IC),1.075625,5.000000,1.077093,1.078062,1.079353,2011-07-07 11:45:00,1.076136,trailing_stop,1,1.500000,330.104787,0.109010,330.104787,TP1,0.333333,322.837480,,,,322.837480,,,
307,2011-07-07 12:00:00,1.076609,long,1.000000,60.853992,False,Standard (NTI+MB+IC),1.076109,5.000000,1.077578,1.078547,1.079839,2011-07-07 13:45:00,1.077578,take_profit_1,1,1.750000,494.373524,9.689481,494.373524,PPT,0.700000,203.689090,TP1,0.300000,290.684434,494.373524,,,
308,2011-07-07 14:00:00,1.076426,long,1.000000,48.318703,False,Standard (NTI+MB+IC),1.075926,5.000000,1.077395,1.078364,1.079656,2011-07-07 14:30:00,1.077395,take_profit_1,1,0.500000,762.096969,9.687838,762.096969,PPT,0.700000,471.461818,TP1,0.300000,290.635150,762.096969,,,
309,2011-07-07 14:45:00,1.077203,long,1.000000,43.787375,False,Standard (NTI+MB+IC),1.076703,5.000000,1.078172,1.079142,1.080434,2011-07-07 15:45:00,1.076600,stop_loss,0,1.000000,-603.045447,-6.030454,-603.045447,,,,,,,,,,
310,2011-07-07 16:00:00,1.077026,long,1.000000,33.997542,False,Standard (NTI+MB+IC),1.076526,5.000000,1.077996,1.078965,1.080257,2011-07-07 19:30:00,1.076402,stop_loss,0,3.500000,-65.649742,-6.242955,-65.649742,PPT,0.700000,121.638914,,,,121.638914,,,
311,2011-07-08 09:15:00,1.072869,short,1.000000,41.675960,False,Standard (NTI+MB+IC),1.073369,5.000000,1.071903,1.070938,1.069650,2011-07-08 09:30:00,1.073536,stop_loss,0,0.250000,-666.997832,-6.669978,-666.997832,,,,,,,,,,
312,2011-07-08 09:45:00,1.073384,short,1.000000,42.425956,False,Standard (NTI+MB+IC),1.073884,5.000000,1.072418,1.071452,1.070164,2011-07-08 10:00:00,1.072418,take_profit_1,1,0.250000,978.714868,9.660457,978.714868,PPT,0.700000,688.901149,TP1,0.300000,289.813719,978.714868,,,
313,2011-07-08 10:15:00,1.071860,short,1.000000,45.060311,False,Standard (NTI+MB+IC),1.072360,5.000000,1.070895,1.069930,1.068644,2011-07-08 10:30:00,1.072542,stop_loss,0,0.250000,-682.051430,-6.820514,-682.051430,,,,,,,,,,
314,2011-07-08 10:45:00,1.072683,short,1.000000,45.575846,False,Standard (NTI+MB+IC),1.073183,5.000000,1.071717,1.070752,1.069465,2011-07-08 11:00:00,1.071717,take_profit_1,1,0.250000,1467.468710,9.654144,1467.468710,PPT,0.700000,1177.844399,TP1,0.300000,289.624311,1467.468710,,,
315,2011-07-08 11:15:00,1.071569,short,1.000000,48.310145,False,Standard (NTI+MB+IC),1.072069,5.000000,1.070605,1.069640,1.068354,2011-07-08 11:30:00,1.072103,stop_loss,0,0.250000,-534.225819,-5.342258,-534.225819,,,,,,,,,,
316,2011-07-08 11:45:00,1.072469,short,1.000000,47.985818,False,Standard (NTI+MB+IC),1.072969,5.000000,1.071504,1.070539,1.069252,2011-07-08 12:30:00,1.073166,stop_loss,0,0.750000,-696.551028,-6.965510,-696.551028,,,,,,,,,,
317,2011-07-08 13:45:00,1.072959,short,1.000000,24.116992,False,Standard (NTI+MB+IC),1.073459,5.000000,1.071993,1.071027,1.069740,2011-07-08 14:00:00,1.073467,stop_loss,0,0.250000,-508.130211,-5.081302,-508.130211,,,,,,,,,,
318,2011-07-10 17:30:00,1.071857,short,1.000000,40.181085,False,Standard (NTI+MB+IC),1.072357,5.000000,1.070892,1.069928,1.068641,2011-07-10 18:15:00,1.072517,stop_loss,0,0.750000,-18.131597,-6.599931,-18.131597,PPT,0.700000,179.866344,,,,179.866344,,,
319,2011-07-10 21:15:00,1.069261,short,1.000000,36.905857,False,Standard (NTI+MB+IC),1.069761,5.000000,1.068299,1.067337,1.066053,2011-07-10 22:15:00,1.069786,stop_loss,0,1.000000,-524.777806,-5.247778,-524.777806,,,,,,,,,,
320,2011-07-10 22:30:00,1.069664,short,1.000000,35.048182,False,Standard (NTI+MB+IC),1.070164,5.000000,1.068701,1.067739,1.066455,2011-07-10 22:45:00,1.070209,stop_loss,0,0.250000,-544.580734,-5.445807,-544.580734,,,,,,,,,,
321,2011-07-11 09:15:00,1.067989,short,1.000000,34.483024,False,Standard (NTI+MB+IC),1.068489,5.000000,1.067028,1.066067,1.064785,2011-07-11 09:45:00,1.068538,stop_loss,0,0.500000,-548.979922,-5.489799,-548.979922,,,,,,,,,,
322,2011-07-11 10:45:00,1.063167,short,1.000000,32.750367,False,Standard (NTI+MB+IC),1.063667,5.000000,1.062210,1.061253,1.059977,2011-07-11 11:00:00,1.063753,stop_loss,0,0.250000,-586.530509,-5.865305,-586.530509,,,,,,,,,,
323,2011-07-11 11:15:00,1.065393,short,1.000000,33.411992,False,Standard (NTI+MB+IC),1.065893,5.000000,1.064434,1.063475,1.062197,2011-07-11 11:45:00,1.065900,stop_loss,0,0.500000,-506.912028,-5.069120,-506.912028,,,,,,,,,,
324,2011-07-11 15:30:00,1.064453,short,1.000000,31.742510,False,Standard (NTI+MB+IC),1.064953,5.000000,1.063495,1.062536,1.061259,2011-07-11 15:45:00,1.063495,take_profit_1,1,0.250000,744.159387,9.580073,744.159387,PPT,0.700000,456.757209,TP1,0.300000,287.402178,744.159387,,,
325,2011-07-11 16:00:00,1.065251,short,1.000000,34.037149,False,Standard (NTI+MB+IC),1.065751,5.000000,1.064292,1.063334,1.062055,2011-07-11 17:30:00,1.065900,stop_loss,0,1.500000,-648.850105,-6.488501,-648.850105,,,,,,,,,,
326,2011-07-11 21:30:00,1.060488,short,1.000000,33.290875,False,Standard (NTI+MB+IC),1.060988,5.000000,1.059533,1.058579,1.057306,2011-07-11 21:45:00,1.059533,take_profit_1,1,0.250000,1047.817780,9.544391,1047.817780,PPT,0.700000,761.486064,TP1,0.300000,286.331716,1047.817780,,,
327,2011-07-11 22:00:00,1.058164,short,1.000000,42.492305,False,Standard (NTI+MB+IC),1.058664,5.000000,1.057211,1.056259,1.054989,2011-07-11 22:30:00,1.058815,stop_loss,0,0.500000,-651.414630,-6.514146,-651.414630,,,,,,,,,,
328,2011-07-11 22:45:00,1.059050,short,1.000000,44.771610,False,Standard (NTI+MB+IC),1.059550,5.000000,1.058097,1.057144,1.055873,2011-07-11 23:00:00,1.059608,stop_loss,0,0.250000,-557.442805,-5.574428,-557.442805,,,,,,,,,,
329,2011-07-11 23:30:00,1.059974,short,1.000000,15.213867,False,Standard (NTI+MB+IC),1.060474,5.000000,1.059020,1.058066,1.056794,2011-07-12 01:30:00,1.060553,stop_loss,0,2.000000,18.352567,-5.790813,18.352567,PPT,0.700000,192.076949,,,,192.076949,,,
330,2011-07-12 03:00:00,1.054466,short,1.000000,33.392282,False,Standard (NTI+MB+IC),1.054966,5.000000,1.053517,1.052568,1.051303,2011-07-12 03:15:00,1.055124,stop_loss,0,0.250000,-657.843003,-6.578430,-657.843003,,,,,,,,,,
331,2011-07-12 03:30:00,1.054364,short,1.000000,41.403823,False,Standard (NTI+MB+IC),1.054864,5.000000,1.053415,1.052466,1.051200,2011-07-12 03:45:00,1.053415,take_profit_1,1,0.250000,749.155207,9.489272,749.155207,PPT,0.700000,464.477052,TP1,0.300000,284.678155,749.155207,,,
