trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million
54,2023-08-03 12:45:00,0.656133,long,1.000000,60.163300,False,Standard (NTI+MB+IC),0.655633,5.000000,0.656723,0.657314,0.658101,2023-08-03 13:15:00,0.655500,stop_loss,0,0.500000,-632.427679,,,,,,,,-6.324277,-632.427679
55,2023-08-03 13:30:00,0.655398,long,1.000000,52.349546,False,Standard (NTI+MB+IC),0.654898,5.000000,0.655988,0.656578,0.657364,2023-08-03 14:00:00,0.654876,stop_loss,0,0.500000,-522.288958,,,,,,,,-5.222890,-522.288958
56,2023-08-03 14:15:00,0.655112,long,1.000000,35.815049,False,Standard (NTI+MB+IC),0.654612,5.000000,0.655702,0.656291,0.657077,2023-08-03 15:00:00,0.654460,stop_loss,0,0.750000,-652.396854,,,,,,,,-6.523969,-652.396854
57,2023-08-03 15:15:00,0.654691,long,1.000000,13.267422,False,Standard (NTI+MB+IC),0.654191,5.000000,0.655280,0.655870,0.656655,2023-08-03 16:15:00,0.655280,take_profit_1,1,1.000000,329.932832,PPT,0.700000,153.166210,TP1,0.300000,176.766622,329.932832,5.892221,329.932832
58,2023-08-03 21:00:00,0.657282,long,1.000000,33.522940,False,Standard (NTI+MB+IC),0.656782,5.000000,0.657874,0.658465,0.659254,2023-08-03 21:30:00,0.657874,take_profit_1,1,0.500000,1002.032799,PPT,0.700000,824.566646,TP1,0.300000,177.466153,1002.032799,5.915538,1002.032799
59,2023-08-03 21:45:00,0.658247,long,1.000000,42.496163,False,Standard (NTI+MB+IC),0.657747,5.000000,0.658839,0.659432,0.660222,2023-08-03 22:00:00,0.657736,stop_loss,0,0.250000,-510.611961,,,,,,,,-5.106120,-510.611961
60,2023-08-03 22:15:00,0.657176,long,1.000000,36.880492,False,Standard (NTI+MB+IC),0.656676,5.000000,0.657768,0.658359,0.659148,2023-08-03 22:30:00,0.656601,stop_loss,0,0.250000,-575.157206,,,,,,,,-5.751572,-575.157206
61,2023-08-04 07:00:00,0.654575,short,1.000000,50.315414,False,Standard (NTI+MB+IC),0.655075,5.000000,0.653986,0.653397,0.652612,2023-08-04 08:00:00,0.655080,stop_loss,0,1.000000,-504.896941,,,,,,,,-5.048969,-504.896941
62,2023-08-04 08:30:00,0.657316,short,1.000000,24.923872,False,Standard (NTI+MB+IC),0.656298,10.178657,0.656725,0.656133,0.655344,2023-08-04 08:45:00,0.656419,stop_loss,0,0.250000,897.003356,,,,,,,,8.970034,897.003356
63,2023-08-04 09:30:00,0.660331,long,1.000000,63.152056,False,Standard (NTI+MB+IC),0.659831,5.000000,0.660926,0.661520,0.662312,2023-08-04 09:45:00,0.659743,stop_loss,0,0.250000,-588.188284,,,,,,,,-5.881883,-588.188284
