trade_id,entry_time,entry_price,direction,initial_size_millions,confidence,is_relaxed,entry_logic,sl_price,sl_distance_pips,tp1_price,tp2_price,tp3_price,exit_time,exit_price,exit_reason,tp_hits,trade_duration_hours,final_pnl,partial_exit_1_type,partial_exit_1_size_m,partial_exit_1_pnl,partial_exit_2_type,partial_exit_2_size_m,partial_exit_2_pnl,partial_pnl_total,final_exit_pips,pnl_per_million,partial_exit_3_type,partial_exit_3_size_m,partial_exit_3_pnl
343,2023-03-07 03:15:00,0.669229,short,1.000000,36.720712,False,Standard (NTI+MB+IC),0.670229,10.000000,0.668225,0.667221,0.665883,2023-03-07 05:15:00,0.667221,take_profit_2,2,2.000000,973.572044,PPT,0.500000,304.343357,TP1,0.333333,334.614343,973.572044,20.076861,973.572044,TP2,0.166667,334.614343
344,2023-03-07 05:30:00,0.667095,short,1.000000,41.101724,False,Standard (NTI+MB+IC),0.668095,10.000000,0.666095,0.665094,0.663760,2023-03-07 09:30:00,0.665094,take_profit_2,2,4.000000,1089.809634,PPT,0.500000,422.714206,TP1,0.333333,333.547714,1089.809634,20.012863,1089.809634,TP2,0.166667,333.547714
345,2023-03-07 09:45:00,0.665289,short,1.000000,55.423208,False,Standard (NTI+MB+IC),0.666289,10.000000,0.664291,0.663293,0.661962,2023-03-07 11:00:00,0.663293,take_profit_2,2,1.250000,2974.542857,PPT,0.500000,2309.254348,TP1,0.333333,332.644254,2974.542857,19.958655,2974.542857,TP2,0.166667,332.644254
346,2023-03-07 11:15:00,0.659596,short,1.000000,63.823786,False,Standard (NTI+MB+IC),0.660596,10.000000,0.658606,0.657617,0.656298,2023-03-07 21:45:00,0.657617,take_profit_2,2,10.500000,1137.391887,PPT,0.500000,477.796294,TP1,0.333333,329.797796,1137.391887,19.787868,1137.391887,TP2,0.166667,329.797796
347,2023-03-07 22:00:00,0.657659,short,1.000000,48.680204,False,Standard (NTI+MB+IC),0.658659,10.000000,0.656673,0.655686,0.654371,2023-03-07 23:45:00,0.658803,stop_loss,0,1.750000,-1143.515264,,,,,,,,-11.435153,-1143.515264,,,
348,2023-03-08 00:00:00,0.658902,short,1.000000,21.872048,False,Standard (NTI+MB+IC),0.659902,10.000000,0.657914,0.656925,0.655608,2023-03-08 02:30:00,0.660022,stop_loss,0,2.500000,-1119.419667,,,,,,,,-11.194197,-1119.419667,,,
349,2023-03-08 05:15:00,0.660169,short,1.000000,21.953937,False,Standard (NTI+MB+IC),0.660710,5.413500,0.659179,0.658189,0.656868,2023-03-08 09:45:00,0.660733,stop_loss,0,4.500000,-17.548026,PPT,0.500000,264.532889,,,,264.532889,-5.641618,-17.548026,,,
350,2023-03-08 11:00:00,0.661014,short,1.000000,38.349057,False,Standard (NTI+MB+IC),0.660636,3.771385,0.660022,0.659031,0.657709,2023-03-08 13:00:00,0.659031,take_profit_2,2,2.000000,907.806527,PPT,0.500000,246.792942,TP1,0.333333,330.506793,907.806527,19.830408,907.806527,TP2,0.166667,330.506793
351,2023-03-09 00:00:00,0.661461,long,1.000000,36.463490,False,Standard (NTI+MB+IC),0.660461,10.000000,0.662453,0.663445,0.664768,2023-03-09 09:00:00,0.663445,take_profit_2,2,9.000000,936.181570,PPT,0.500000,274.721012,TP1,0.333333,330.730279,936.181570,19.843817,936.181570,TP2,0.166667,330.730279
352,2023-03-09 09:15:00,0.662192,long,1.000000,30.544331,False,Standard (NTI+MB+IC),0.661192,10.000000,0.663185,0.664179,0.665503,2023-03-09 12:00:00,0.661171,stop_loss,1,2.750000,-349.858301,TP1,0.333333,331.096066,,,,331.096066,-10.214316,-349.858301,,,
353,2023-03-09 14:30:00,0.659376,long,1.000000,28.713324,False,Standard (NTI+MB+IC),0.660488,11.113422,0.660365,0.661354,0.662673,2023-03-09 14:45:00,0.660486,stop_loss,0,0.250000,1109.978403,,,,,,,,11.099784,1109.978403,,,
354,2023-03-09 16:00:00,0.658669,short,1.000000,34.961742,False,Standard (NTI+MB+IC),0.659669,10.000000,0.657681,0.656693,0.655375,2023-03-09 21:15:00,0.656693,take_profit_2,2,5.250000,1303.008436,PPT,0.500000,644.339756,TP1,0.333333,329.334340,1303.008436,19.760060,1303.008436,TP2,0.166667,329.334340
355,2023-03-09 21:30:00,0.657849,short,1.000000,51.723645,False,Standard (NTI+MB+IC),0.658849,10.000000,0.656862,0.655875,0.654559,2023-03-09 23:45:00,0.659042,stop_loss,0,2.250000,-297.477568,PPT,0.500000,299.316600,,,,299.316600,-11.935883,-297.477568,,,
356,2023-03-10 00:00:00,0.659416,short,1.000000,21.529814,False,Standard (NTI+MB+IC),0.659580,1.639624,0.658427,0.657438,0.656119,2023-03-10 02:30:00,0.659756,stop_loss,1,2.500000,396.071296,PPT,0.500000,122.985054,TP1,0.333333,329.707985,452.693039,-3.397305,396.071296,,,
357,2023-03-10 12:30:00,0.661907,long,1.000000,34.128834,False,Standard (NTI+MB+IC),0.660907,10.000000,0.662900,0.663893,0.665217,2023-03-10 13:00:00,0.660853,stop_loss,0,0.500000,-1053.835923,,,,,,,,-10.538359,-1053.835923,,,
358,2023-03-12 19:15:00,0.663196,long,1.000000,42.418936,False,Standard (NTI+MB+IC),0.662196,10.000000,0.664191,0.665186,0.666512,2023-03-12 19:45:00,0.661999,stop_loss,0,0.500000,-1197.256596,,,,,,,,-11.972566,-1197.256596,,,
359,2023-03-12 22:00:00,0.666636,long,1.000000,39.723135,False,Standard (NTI+MB+IC),0.665636,10.000000,0.667636,0.668636,0.669969,2023-03-13 04:00:00,0.665447,stop_loss,1,6.000000,546.958145,PPT,0.500000,411.879921,TP1,0.333333,333.318120,745.198041,-11.894394,546.958145,,,
360,2023-03-13 04:15:00,0.663272,long,1.000000,16.173142,False,Standard (NTI+MB+IC),0.663484,2.126734,0.664267,0.665261,0.666588,2023-03-13 04:30:00,0.663346,stop_loss,0,0.250000,73.925152,,,,,,,,0.739252,73.925152,,,
361,2023-03-13 04:45:00,0.662323,long,1.000000,19.905830,False,Standard (NTI+MB+IC),0.663546,12.228958,0.663317,0.664310,0.665635,2023-03-13 06:00:00,0.664310,take_profit_2,2,1.250000,1290.623802,PPT,0.500000,628.300403,TP1,0.333333,331.161700,1290.623802,19.869702,1290.623802,TP2,0.166667,331.161700
362,2023-03-13 06:15:00,0.663383,long,1.000000,19.649346,False,Standard (NTI+MB+IC),0.663564,1.803550,0.664378,0.665373,0.666700,2023-03-13 07:00:00,0.663479,stop_loss,1,0.750000,586.025347,PPT,0.500000,238.393999,TP1,0.333333,331.691606,570.085605,0.956385,586.025347,,,
363,2023-03-13 10:00:00,0.670239,long,1.000000,34.171644,False,Standard (NTI+MB+IC),0.669239,10.000000,0.671244,0.672250,0.673590,2023-03-13 10:45:00,0.669204,stop_loss,1,0.750000,793.232827,PPT,0.500000,630.545133,TP1,0.333333,335.119455,965.664588,-10.345906,793.232827,,,
364,2023-03-14 22:30:00,0.670080,long,1.000000,40.993073,False,Standard (NTI+MB+IC),0.669080,10.000000,0.671085,0.672091,0.673431,2023-03-14 23:30:00,0.669013,stop_loss,0,1.000000,-1067.686742,,,,,,,,-10.676867,-1067.686742,,,
365,2023-03-15 05:00:00,0.664853,short,1.000000,47.648164,False,Standard (NTI+MB+IC),0.665853,10.000000,0.663856,0.662859,0.661529,2023-03-15 08:45:00,0.662859,take_profit_2,2,3.750000,1006.409331,PPT,0.500000,341.556218,TP1,0.333333,332.426556,1006.409331,19.945593,1006.409331,TP2,0.166667,332.426556
366,2023-03-15 10:00:00,0.661726,short,1.000000,63.066374,False,Standard (NTI+MB+IC),0.662726,10.000000,0.660734,0.659741,0.658418,2023-03-15 12:00:00,0.659741,take_profit_2,2,2.000000,1109.848623,PPT,0.500000,448.122379,TP1,0.333333,330.863122,1109.848623,19.851787,1109.848623,TP2,0.166667,330.863122
367,2023-03-15 12:15:00,0.660979,short,1.000000,71.015779,False,Standard (NTI+MB+IC),0.661979,10.000000,0.659987,0.658996,0.657674,2023-03-15 14:15:00,0.662151,stop_loss,1,2.000000,449.429007,PPT,0.500000,314.313359,TP1,0.333333,330.489313,644.802673,-11.722420,449.429007,,,
